,Area,Measure,Units,Year,Value
15016,Hawaii,Labor productivity,Index (2012=100),2008,97.992
15017,Hawaii,Labor productivity,Index (2012=100),2009,99.756
15018,Hawaii,Labor productivity,Index (2012=100),2010,102.064
15019,Hawaii,Labor productivity,Index (2012=100),2011,102.668
15020,Hawaii,Labor productivity,Index (2012=100),2012,100.000
15021,Hawaii,Labor productivity,Index (2012=100),2013,103.266
15022,Hawaii,Labor productivity,Index (2012=100),2014,100.175
15023,Hawaii,Labor productivity,Index (2012=100),2015,103.611
15024,Hawaii,Labor productivity,Index (2012=100),2016,105.801
15025,Hawaii,Labor productivity,Index (2012=100),2017,109.022
15026,Hawaii,Labor productivity,Index (2012=100),2018,111.575
15027,Hawaii,Labor productivity,Index (2012=100),2019,111.724
15028,Hawaii,Labor productivity,Index (2012=100),2020,115.310
15029,Hawaii,Labor productivity,Index (2012=100),2021,114.436
15030,Idaho,Labor productivity,Index (2012=100),2007,89.155
15031,Idaho,Labor productivity,Index (2012=100),2008,94.813
15032,Idaho,Labor productivity,Index (2012=100),2009,98.885
15033,Idaho,Labor productivity,Index (2012=100),2010,101.757
15034,Idaho,Labor productivity,Index (2012=100),2011,99.457
15035,Idaho,Labor productivity,Index (2012=100),2012,100.000
15036,Idaho,Labor productivity,Index (2012=100),2013,103.707
15037,Idaho,Labor productivity,Index (2012=100),2014,103.494
15038,Idaho,Labor productivity,Index (2012=100),2015,100.107
15039,Idaho,Labor productivity,Index (2012=100),2016,102.859
15040,Idaho,Labor productivity,Index (2012=100),2017,100.538
15041,Idaho,Labor productivity,Index (2012=100),2018,103.014
15042,Idaho,Labor productivity,Index (2012=100),2019,105.818
15043,Idaho,Labor productivity,Index (2012=100),2020,103.447
15044,Idaho,Labor productivity,Index (2012=100),2021,105.856
15045,Illinois,Labor productivity,Index (2012=100),2007,93.912
15046,Illinois,Labor productivity,Index (2012=100),2008,93.935
15047,Illinois,Labor productivity,Index (2012=100),2009,96.329
15048,Illinois,Labor productivity,Index (2012=100),2010,97.950
15049,Illinois,Labor productivity,Index (2012=100),2011,98.833
15050,Illinois,Labor productivity,Index (2012=100),2012,100.000
15051,Illinois,Labor productivity,Index (2012=100),2013,98.978
15052,Illinois,Labor productivity,Index (2012=100),2014,100.585
15053,Illinois,Labor productivity,Index (2012=100),2015,101.209
15054,Illinois,Labor productivity,Index (2012=100),2016,101.403
15055,Illinois,Labor productivity,Index (2012=100),2017,101.489
15056,Illinois,Labor productivity,Index (2012=100),2018,102.819
15057,Illinois,Labor productivity,Index (2012=100),2019,104.536
15058,Illinois,Labor productivity,Index (2012=100),2020,105.288
15059,Illinois,Labor productivity,Index (2012=100),2021,108.222
15060,Indiana,Labor productivity,Index (2012=100),2007,94.034
15061,Indiana,Labor productivity,Index (2012=100),2008,96.264
15062,Indiana,Labor productivity,Index (2012=100),2009,94.934
15063,Indiana,Labor productivity,Index (2012=100),2010,100.976
15064,Indiana,Labor productivity,Index (2012=100),2011,99.785
15065,Indiana,Labor productivity,Index (2012=100),2012,100.000
15066,Indiana,Labor productivity,Index (2012=100),2013,99.961
15067,Indiana,Labor productivity,Index (2012=100),2014,101.582
15068,Indiana,Labor productivity,Index (2012=100),2015,98.203
15069,Indiana,Labor productivity,Index (2012=100),2016,99.373
15070,Indiana,Labor productivity,Index (2012=100),2017,99.445
15071,Indiana,Labor productivity,Index (2012=100),2018,102.562
15072,Indiana,Labor productivity,Index (2012=100),2019,101.708
15073,Indiana,Labor productivity,Index (2012=100),2020,103.778
15074,Indiana,Labor productivity,Index (2012=100),2021,106.057
15075,Iowa,Labor productivity,Index (2012=100),2007,97.000
15076,Iowa,Labor productivity,Index (2012=100),2008,95.548
15077,Iowa,Labor productivity,Index (2012=100),2009,96.093
15078,Iowa,Labor productivity,Index (2012=100),2010,97.417
15079,Iowa,Labor productivity,Index (2012=100),2011,97.388
15080,Iowa,Labor productivity,Index (2012=100),2012,100.000
15081,Iowa,Labor productivity,Index (2012=100),2013,97.114
15082,Iowa,Labor productivity,Index (2012=100),2014,101.268
15083,Iowa,Labor productivity,Index (2012=100),2015,104.117
15084,Iowa,Labor productivity,Index (2012=100),2016,103.663
15085,Iowa,Labor productivity,Index (2012=100),2017,103.292
15086,Iowa,Labor productivity,Index (2012=100),2018,105.135
15087,Iowa,Labor productivity,Index (2012=100),2019,104.375
15088,Iowa,Labor productivity,Index (2012=100),2020,108.673
15089,Iowa,Labor productivity,Index (2012=100),2021,110.940
15090,Kansas,Labor productivity,Index (2012=100),2007,94.679
15091,Kansas,Labor productivity,Index (2012=100),2008,94.739
15092,Kansas,Labor productivity,Index (2012=100),2009,95.223
15093,Kansas,Labor productivity,Index (2012=100),2010,98.595
15094,Kansas,Labor productivity,Index (2012=100),2011,99.712
15095,Kansas,Labor productivity,Index (2012=100),2012,100.000
15096,Kansas,Labor productivity,Index (2012=100),2013,99.077
15097,Kansas,Labor productivity,Index (2012=100),2014,103.047
15098,Kansas,Labor productivity,Index (2012=100),2015,105.444
15099,Kansas,Labor productivity,Index (2012=100),2016,111.230
15100,Kansas,Labor productivity,Index (2012=100),2017,112.004
15101,Kansas,Labor productivity,Index (2012=100),2018,114.401
15102,Kansas,Labor productivity,Index (2012=100),2019,114.013
15103,Kansas,Labor productivity,Index (2012=100),2020,118.224
15104,Kansas,Labor productivity,Index (2012=100),2021,119.835
15105,Kentucky,Labor productivity,Index (2012=100),2007,87.775
15106,Kentucky,Labor productivity,Index (2012=100),2008,89.348
15107,Kentucky,Labor productivity,Index (2012=100),2009,91.835
15108,Kentucky,Labor productivity,Index (2012=100),2010,96.827
15109,Kentucky,Labor productivity,Index (2012=100),2011,98.546
15110,Kentucky,Labor productivity,Index (2012=100),2012,100.000
15111,Kentucky,Labor productivity,Index (2012=100),2013,101.273
15112,Kentucky,Labor productivity,Index (2012=100),2014,100.105
15113,Kentucky,Labor productivity,Index (2012=100),2015,97.723
15114,Kentucky,Labor productivity,Index (2012=100),2016,97.665
15115,Kentucky,Labor productivity,Index (2012=100),2017,97.901
15116,Kentucky,Labor productivity,Index (2012=100),2018,99.483
15117,Kentucky,Labor productivity,Index (2012=100),2019,101.167
15118,Kentucky,Labor productivity,Index (2012=100),2020,102.507
15119,Kentucky,Labor productivity,Index (2012=100),2021,103.940
15120,Louisiana,Labor productivity,Index (2012=100),2007,101.741
15121,Louisiana,Labor productivity,Index (2012=100),2008,100.512
15122,Louisiana,Labor productivity,Index (2012=100),2009,103.779
15123,Louisiana,Labor productivity,Index (2012=100),2010,108.742
15124,Louisiana,Labor productivity,Index (2012=100),2011,102.789
15125,Louisiana,Labor productivity,Index (2012=100),2012,100.000
15126,Louisiana,Labor productivity,Index (2012=100),2013,96.126
15127,Louisiana,Labor productivity,Index (2012=100),2014,96.836
15128,Louisiana,Labor productivity,Index (2012=100),2015,96.656
15129,Louisiana,Labor productivity,Index (2012=100),2016,97.326
15130,Louisiana,Labor productivity,Index (2012=100),2017,97.968
15131,Louisiana,Labor productivity,Index (2012=100),2018,96.793
15132,Louisiana,Labor productivity,Index (2012=100),2019,96.831
15133,Louisiana,Labor productivity,Index (2012=100),2020,99.883
15134,Louisiana,Labor productivity,Index (2012=100),2021,100.643
15135,Maine,Labor productivity,Index (2012=100),2007,97.407
15136,Maine,Labor productivity,Index (2012=100),2008,97.174
15137,Maine,Labor productivity,Index (2012=100),2009,100.998
15138,Maine,Labor productivity,Index (2012=100),2010,102.264
15139,Maine,Labor productivity,Index (2012=100),2011,101.551
15140,Maine,Labor productivity,Index (2012=100),2012,100.000
15141,Maine,Labor productivity,Index (2012=100),2013,98.844
15142,Maine,Labor productivity,Index (2012=100),2014,100.996
15143,Maine,Labor productivity,Index (2012=100),2015,97.414
15144,Maine,Labor productivity,Index (2012=100),2016,99.163
15145,Maine,Labor productivity,Index (2012=100),2017,101.412
15146,Maine,Labor productivity,Index (2012=100),2018,103.891
15147,Maine,Labor productivity,Index (2012=100),2019,107.169
15148,Maine,Labor productivity,Index (2012=100),2020,113.428
15149,Maine,Labor productivity,Index (2012=100),2021,113.953
15150,Maryland,Labor productivity,Index (2012=100),2007,88.096
15151,Maryland,Labor productivity,Index (2012=100),2008,90.311
15152,Maryland,Labor productivity,Index (2012=100),2009,93.123
15153,Maryland,Labor productivity,Index (2012=100),2010,99.656
15154,Maryland,Labor productivity,Index (2012=100),2011,99.234
15155,Maryland,Labor productivity,Index (2012=100),2012,100.000
15156,Maryland,Labor productivity,Index (2012=100),2013,100.381
15157,Maryland,Labor productivity,Index (2012=100),2014,101.247
15158,Maryland,Labor productivity,Index (2012=100),2015,103.131
15159,Maryland,Labor productivity,Index (2012=100),2016,106.577
15160,Maryland,Labor productivity,Index (2012=100),2017,105.596
15161,Maryland,Labor productivity,Index (2012=100),2018,104.145
15162,Maryland,Labor productivity,Index (2012=100),2019,105.864
15163,Maryland,Labor productivity,Index (2012=100),2020,107.766
15164,Maryland,Labor productivity,Index (2012=100),2021,109.150
15165,Massachusetts,Labor productivity,Index (2012=100),2007,89.706
15166,Massachusetts,Labor productivity,Index (2012=100),2008,90.303
15167,Massachusetts,Labor productivity,Index (2012=100),2009,93.259
15168,Massachusetts,Labor productivity,Index (2012=100),2010,97.122
15169,Massachusetts,Labor productivity,Index (2012=100),2011,98.429
15170,Massachusetts,Labor productivity,Index (2012=100),2012,100.000
15171,Massachusetts,Labor productivity,Index (2012=100),2013,99.596
15172,Massachusetts,Labor productivity,Index (2012=100),2014,99.211
15173,Massachusetts,Labor productivity,Index (2012=100),2015,102.178
15174,Massachusetts,Labor productivity,Index (2012=100),2016,102.093
15175,Massachusetts,Labor productivity,Index (2012=100),2017,102.553
15176,Massachusetts,Labor productivity,Index (2012=100),2018,105.884
15177,Massachusetts,Labor productivity,Index (2012=100),2019,108.473
15178,Massachusetts,Labor productivity,Index (2012=100),2020,114.369
15179,Massachusetts,Labor productivity,Index (2012=100),2021,117.253
15180,Michigan,Labor productivity,Index (2012=100),2007,96.155
15181,Michigan,Labor productivity,Index (2012=100),2008,94.696
15182,Michigan,Labor productivity,Index (2012=100),2009,94.353
15183,Michigan,Labor productivity,Index (2012=100),2010,100.005
15184,Michigan,Labor productivity,Index (2012=100),2011,99.023
15185,Michigan,Labor productivity,Index (2012=100),2012,100.000
15186,Michigan,Labor productivity,Index (2012=100),2013,99.751
15187,Michigan,Labor productivity,Index (2012=100),2014,99.773
15188,Michigan,Labor productivity,Index (2012=100),2015,99.035
15189,Michigan,Labor productivity,Index (2012=100),2016,99.642
15190,Michigan,Labor productivity,Index (2012=100),2017,99.966
15191,Michigan,Labor productivity,Index (2012=100),2018,100.860
15192,Michigan,Labor productivity,Index (2012=100),2019,101.980
15193,Michigan,Labor productivity,Index (2012=100),2020,107.221
15194,Michigan,Labor productivity,Index (2012=100),2021,109.224
15195,Minnesota,Labor productivity,Index (2012=100),2007,92.700
15196,Minnesota,Labor productivity,Index (2012=100),2008,93.980
15197,Minnesota,Labor productivity,Index (2012=100),2009,97.140
15198,Minnesota,Labor productivity,Index (2012=100),2010,100.323
15199,Minnesota,Labor productivity,Index (2012=100),2011,100.624
15200,Minnesota,Labor productivity,Index (2012=100),2012,100.000
15201,Minnesota,Labor productivity,Index (2012=100),2013,101.522
15202,Minnesota,Labor productivity,Index (2012=100),2014,102.615
15203,Minnesota,Labor productivity,Index (2012=100),2015,101.723
15204,Minnesota,Labor productivity,Index (2012=100),2016,102.788
15205,Minnesota,Labor productivity,Index (2012=100),2017,102.887
15206,Minnesota,Labor productivity,Index (2012=100),2018,106.088
15207,Minnesota,Labor productivity,Index (2012=100),2019,106.030
15208,Minnesota,Labor productivity,Index (2012=100),2020,106.652
15209,Minnesota,Labor productivity,Index (2012=100),2021,110.580
15210,Mississippi,Labor productivity,Index (2012=100),2007,92.373
15211,Mississippi,Labor productivity,Index (2012=100),2008,95.836
15212,Mississippi,Labor productivity,Index (2012=100),2009,95.653
15213,Mississippi,Labor productivity,Index (2012=100),2010,96.619
15214,Mississippi,Labor productivity,Index (2012=100),2011,98.328
15215,Mississippi,Labor productivity,Index (2012=100),2012,100.000
15216,Mississippi,Labor productivity,Index (2012=100),2013,97.914
15217,Mississippi,Labor productivity,Index (2012=100),2014,97.328
15218,Mississippi,Labor productivity,Index (2012=100),2015,97.405
15219,Mississippi,Labor productivity,Index (2012=100),2016,98.758
15220,Mississippi,Labor productivity,Index (2012=100),2017,96.758
15221,Mississippi,Labor productivity,Index (2012=100),2018,96.242
15222,Mississippi,Labor productivity,Index (2012=100),2019,96.814
15223,Mississippi,Labor productivity,Index (2012=100),2020,99.791
15224,Mississippi,Labor productivity,Index (2012=100),2021,102.687
15225,Missouri,Labor productivity,Index (2012=100),2007,91.327
15226,Missouri,Labor productivity,Index (2012=100),2008,95.026
15227,Missouri,Labor productivity,Index (2012=100),2009,99.282
15228,Missouri,Labor productivity,Index (2012=100),2010,102.278
15229,Missouri,Labor productivity,Index (2012=100),2011,98.486
15230,Missouri,Labor productivity,Index (2012=100),2012,100.000
15231,Missouri,Labor productivity,Index (2012=100),2013,100.252
15232,Missouri,Labor productivity,Index (2012=100),2014,100.403
15233,Missouri,Labor productivity,Index (2012=100),2015,100.168
15234,Missouri,Labor productivity,Index (2012=100),2016,100.335
15235,Missouri,Labor productivity,Index (2012=100),2017,100.520
15236,Missouri,Labor productivity,Index (2012=100),2018,100.980
15237,Missouri,Labor productivity,Index (2012=100),2019,101.708
15238,Missouri,Labor productivity,Index (2012=100),2020,104.143
15239,Missouri,Labor productivity,Index (2012=100),2021,106.941
15240,Montana,Labor productivity,Index (2012=100),2007,88.697
15241,Montana,Labor productivity,Index (2012=100),2008,96.046
15242,Montana,Labor productivity,Index (2012=100),2009,101.697
15243,Montana,Labor productivity,Index (2012=100),2010,100.635
15244,Montana,Labor productivity,Index (2012=100),2011,101.863
15245,Montana,Labor productivity,Index (2012=100),2012,100.000
15246,Montana,Labor productivity,Index (2012=100),2013,101.393
15247,Montana,Labor productivity,Index (2012=100),2014,103.478
15248,Montana,Labor productivity,Index (2012=100),2015,105.728
15249,Montana,Labor productivity,Index (2012=100),2016,100.499
15250,Montana,Labor productivity,Index (2012=100),2017,105.826
15251,Montana,Labor productivity,Index (2012=100),2018,103.993
15252,Montana,Labor productivity,Index (2012=100),2019,104.011
15253,Montana,Labor productivity,Index (2012=100),2020,104.907
15254,Montana,Labor productivity,Index (2012=100),2021,106.658
15255,Nebraska,Labor productivity,Index (2012=100),2007,91.527
15256,Nebraska,Labor productivity,Index (2012=100),2008,89.756
15257,Nebraska,Labor productivity,Index (2012=100),2009,92.670
15258,Nebraska,Labor productivity,Index (2012=100),2010,95.431
15259,Nebraska,Labor productivity,Index (2012=100),2011,98.782
15260,Nebraska,Labor productivity,Index (2012=100),2012,100.000
15261,Nebraska,Labor productivity,Index (2012=100),2013,98.204
15262,Nebraska,Labor productivity,Index (2012=100),2014,103.147
15263,Nebraska,Labor productivity,Index (2012=100),2015,105.660
15264,Nebraska,Labor productivity,Index (2012=100),2016,106.601
15265,Nebraska,Labor productivity,Index (2012=100),2017,107.336
15266,Nebraska,Labor productivity,Index (2012=100),2018,109.947
15267,Nebraska,Labor productivity,Index (2012=100),2019,112.625
15268,Nebraska,Labor productivity,Index (2012=100),2020,116.245
15269,Nebraska,Labor productivity,Index (2012=100),2021,116.868
15270,Nevada,Labor productivity,Index (2012=100),2007,90.422
15271,Nevada,Labor productivity,Index (2012=100),2008,88.585
15272,Nevada,Labor productivity,Index (2012=100),2009,92.802
15273,Nevada,Labor productivity,Index (2012=100),2010,100.397
15274,Nevada,Labor productivity,Index (2012=100),2011,100.932
15275,Nevada,Labor productivity,Index (2012=100),2012,100.000
15276,Nevada,Labor productivity,Index (2012=100),2013,100.067
15277,Nevada,Labor productivity,Index (2012=100),2014,97.728
15278,Nevada,Labor productivity,Index (2012=100),2015,97.054
15279,Nevada,Labor productivity,Index (2012=100),2016,95.809
15280,Nevada,Labor productivity,Index (2012=100),2017,96.374
15281,Nevada,Labor productivity,Index (2012=100),2018,96.786
15282,Nevada,Labor productivity,Index (2012=100),2019,96.319
15283,Nevada,Labor productivity,Index (2012=100),2020,99.420
15284,Nevada,Labor productivity,Index (2012=100),2021,98.450
15285,New Hampshire,Labor productivity,Index (2012=100),2007,93.797
15286,New Hampshire,Labor productivity,Index (2012=100),2008,93.779
15287,New Hampshire,Labor productivity,Index (2012=100),2009,97.131
15288,New Hampshire,Labor productivity,Index (2012=100),2010,99.337
15289,New Hampshire,Labor productivity,Index (2012=100),2011,99.230
15290,New Hampshire,Labor productivity,Index (2012=100),2012,100.000
15291,New Hampshire,Labor productivity,Index (2012=100),2013,98.869
15292,New Hampshire,Labor productivity,Index (2012=100),2014,101.069
15293,New Hampshire,Labor productivity,Index (2012=100),2015,102.420
15294,New Hampshire,Labor productivity,Index (2012=100),2016,103.594
15295,New Hampshire,Labor productivity,Index (2012=100),2017,103.250
15296,New Hampshire,Labor productivity,Index (2012=100),2018,105.973
15297,New Hampshire,Labor productivity,Index (2012=100),2019,108.720
15298,New Hampshire,Labor productivity,Index (2012=100),2020,112.569
15299,New Hampshire,Labor productivity,Index (2012=100),2021,118.392
15300,New Jersey,Labor productivity,Index (2012=100),2007,95.315
15301,New Jersey,Labor productivity,Index (2012=100),2008,98.098
15302,New Jersey,Labor productivity,Index (2012=100),2009,97.207
15303,New Jersey,Labor productivity,Index (2012=100),2010,100.181
15304,New Jersey,Labor productivity,Index (2012=100),2011,98.565
15305,New Jersey,Labor productivity,Index (2012=100),2012,100.000
15306,New Jersey,Labor productivity,Index (2012=100),2013,102.018
15307,New Jersey,Labor productivity,Index (2012=100),2014,100.269
15308,New Jersey,Labor productivity,Index (2012=100),2015,100.301
15309,New Jersey,Labor productivity,Index (2012=100),2016,99.756
15310,New Jersey,Labor productivity,Index (2012=100),2017,99.678
15311,New Jersey,Labor productivity,Index (2012=100),2018,101.281
15312,New Jersey,Labor productivity,Index (2012=100),2019,102.934
15313,New Jersey,Labor productivity,Index (2012=100),2020,107.283
15314,New Jersey,Labor productivity,Index (2012=100),2021,107.164
15315,New Mexico,Labor productivity,Index (2012=100),2007,91.458
15316,New Mexico,Labor productivity,Index (2012=100),2008,89.906
15317,New Mexico,Labor productivity,Index (2012=100),2009,97.268
15318,New Mexico,Labor productivity,Index (2012=100),2010,99.961
15319,New Mexico,Labor productivity,Index (2012=100),2011,98.418
15320,New Mexico,Labor productivity,Index (2012=100),2012,100.000
15321,New Mexico,Labor productivity,Index (2012=100),2013,97.111
15322,New Mexico,Labor productivity,Index (2012=100),2014,101.826
15323,New Mexico,Labor productivity,Index (2012=100),2015,104.208
15324,New Mexico,Labor productivity,Index (2012=100),2016,104.174
15325,New Mexico,Labor productivity,Index (2012=100),2017,101.975
15326,New Mexico,Labor productivity,Index (2012=100),2018,102.921
15327,New Mexico,Labor productivity,Index (2012=100),2019,107.861
15328,New Mexico,Labor productivity,Index (2012=100),2020,112.539
15329,New Mexico,Labor productivity,Index (2012=100),2021,113.660
15330,New York,Labor productivity,Index (2012=100),2007,89.929
15331,New York,Labor productivity,Index (2012=100),2008,86.603
15332,New York,Labor productivity,Index (2012=100),2009,94.762
15333,New York,Labor productivity,Index (2012=100),2010,98.311
15334,New York,Labor productivity,Index (2012=100),2011,96.617
15335,New York,Labor productivity,Index (2012=100),2012,100.000
15336,New York,Labor productivity,Index (2012=100),2013,97.876
15337,New York,Labor productivity,Index (2012=100),2014,98.752
15338,New York,Labor productivity,Index (2012=100),2015,98.033
15339,New York,Labor productivity,Index (2012=100),2016,100.228
15340,New York,Labor productivity,Index (2012=100),2017,100.748
15341,New York,Labor productivity,Index (2012=100),2018,102.266
15342,New York,Labor productivity,Index (2012=100),2019,105.474
15343,New York,Labor productivity,Index (2012=100),2020,111.909
15344,New York,Labor productivity,Index (2012=100),2021,113.969
15345,North Carolina,Labor productivity,Index (2012=100),2007,93.359
15346,North Carolina,Labor productivity,Index (2012=100),2008,98.431
15347,North Carolina,Labor productivity,Index (2012=100),2009,100.924
15348,North Carolina,Labor productivity,Index (2012=100),2010,102.864
15349,North Carolina,Labor productivity,Index (2012=100),2011,102.041
15350,North Carolina,Labor productivity,Index (2012=100),2012,100.000
15351,North Carolina,Labor productivity,Index (2012=100),2013,101.131
15352,North Carolina,Labor productivity,Index (2012=100),2014,101.916
15353,North Carolina,Labor productivity,Index (2012=100),2015,101.861
15354,North Carolina,Labor productivity,Index (2012=100),2016,101.988
15355,North Carolina,Labor productivity,Index (2012=100),2017,103.450
15356,North Carolina,Labor productivity,Index (2012=100),2018,103.358
15357,North Carolina,Labor productivity,Index (2012=100),2019,103.011
15358,North Carolina,Labor productivity,Index (2012=100),2020,103.710
15359,North Carolina,Labor productivity,Index (2012=100),2021,106.125
15360,North Dakota,Labor productivity,Index (2012=100),2007,74.354
15361,North Dakota,Labor productivity,Index (2012=100),2008,78.285
15362,North Dakota,Labor productivity,Index (2012=100),2009,82.743
15363,North Dakota,Labor productivity,Index (2012=100),2010,86.736
15364,North Dakota,Labor productivity,Index (2012=100),2011,90.809
15365,North Dakota,Labor productivity,Index (2012=100),2012,100.000
15366,North Dakota,Labor productivity,Index (2012=100),2013,101.473
15367,North Dakota,Labor productivity,Index (2012=100),2014,108.691
15368,North Dakota,Labor productivity,Index (2012=100),2015,109.502
15369,North Dakota,Labor productivity,Index (2012=100),2016,107.031
15370,North Dakota,Labor productivity,Index (2012=100),2017,109.044
15371,North Dakota,Labor productivity,Index (2012=100),2018,110.743
15372,North Dakota,Labor productivity,Index (2012=100),2019,112.065
15373,North Dakota,Labor productivity,Index (2012=100),2020,117.768
15374,North Dakota,Labor productivity,Index (2012=100),2021,118.283
15375,Ohio,Labor productivity,Index (2012=100),2007,96.752
15376,Ohio,Labor productivity,Index (2012=100),2008,96.140
15377,Ohio,Labor productivity,Index (2012=100),2009,98.613
15378,Ohio,Labor productivity,Index (2012=100),2010,100.658
15379,Ohio,Labor productivity,Index (2012=100),2011,102.183
15380,Ohio,Labor productivity,Index (2012=100),2012,100.000
15381,Ohio,Labor productivity,Index (2012=100),2013,101.284
15382,Ohio,Labor productivity,Index (2012=100),2014,104.348
15383,Ohio,Labor productivity,Index (2012=100),2015,103.498
15384,Ohio,Labor productivity,Index (2012=100),2016,104.281
15385,Ohio,Labor productivity,Index (2012=100),2017,104.794
15386,Ohio,Labor productivity,Index (2012=100),2018,105.794
15387,Ohio,Labor productivity,Index (2012=100),2019,108.027
15388,Ohio,Labor productivity,Index (2012=100),2020,110.123
15389,Ohio,Labor productivity,Index (2012=100),2021,112.839
15390,Oklahoma,Labor productivity,Index (2012=100),2007,90.832
15391,Oklahoma,Labor productivity,Index (2012=100),2008,91.928
15392,Oklahoma,Labor productivity,Index (2012=100),2009,94.399
15393,Oklahoma,Labor productivity,Index (2012=100),2010,93.450
15394,Oklahoma,Labor productivity,Index (2012=100),2011,97.828
15395,Oklahoma,Labor productivity,Index (2012=100),2012,100.000
15396,Oklahoma,Labor productivity,Index (2012=100),2013,101.839
15397,Oklahoma,Labor productivity,Index (2012=100),2014,106.842
15398,Oklahoma,Labor productivity,Index (2012=100),2015,113.823
15399,Oklahoma,Labor productivity,Index (2012=100),2016,110.463
15400,Oklahoma,Labor productivity,Index (2012=100),2017,109.228
15401,Oklahoma,Labor productivity,Index (2012=100),2018,107.629
15402,Oklahoma,Labor productivity,Index (2012=100),2019,110.231
15403,Oklahoma,Labor productivity,Index (2012=100),2020,109.029
15404,Oklahoma,Labor productivity,Index (2012=100),2021,109.051
15405,Oregon,Labor productivity,Index (2012=100),2007,87.882
15406,Oregon,Labor productivity,Index (2012=100),2008,92.572
15407,Oregon,Labor productivity,Index (2012=100),2009,96.522
15408,Oregon,Labor productivity,Index (2012=100),2010,98.434
15409,Oregon,Labor productivity,Index (2012=100),2011,100.321
15410,Oregon,Labor productivity,Index (2012=100),2012,100.000
15411,Oregon,Labor productivity,Index (2012=100),2013,99.337
15412,Oregon,Labor productivity,Index (2012=100),2014,99.111
15413,Oregon,Labor productivity,Index (2012=100),2015,101.667
15414,Oregon,Labor productivity,Index (2012=100),2016,102.382
15415,Oregon,Labor productivity,Index (2012=100),2017,104.691
15416,Oregon,Labor productivity,Index (2012=100),2018,107.266
15417,Oregon,Labor productivity,Index (2012=100),2019,108.762
15418,Oregon,Labor productivity,Index (2012=100),2020,114.009
15419,Oregon,Labor productivity,Index (2012=100),2021,116.753
15420,Pennsylvania,Labor productivity,Index (2012=100),2007,90.306
15421,Pennsylvania,Labor productivity,Index (2012=100),2008,92.592
15422,Pennsylvania,Labor productivity,Index (2012=100),2009,94.322
15423,Pennsylvania,Labor productivity,Index (2012=100),2010,97.285
15424,Pennsylvania,Labor productivity,Index (2012=100),2011,97.726
15425,Pennsylvania,Labor productivity,Index (2012=100),2012,100.000
15426,Pennsylvania,Labor productivity,Index (2012=100),2013,100.958
15427,Pennsylvania,Labor productivity,Index (2012=100),2014,101.715
15428,Pennsylvania,Labor productivity,Index (2012=100),2015,102.275
15429,Pennsylvania,Labor productivity,Index (2012=100),2016,103.221
15430,Pennsylvania,Labor productivity,Index (2012=100),2017,103.611
15431,Pennsylvania,Labor productivity,Index (2012=100),2018,102.092
15432,Pennsylvania,Labor productivity,Index (2012=100),2019,103.276
15433,Pennsylvania,Labor productivity,Index (2012=100),2020,107.273
15434,Pennsylvania,Labor productivity,Index (2012=100),2021,110.047
15435,Rhode Island,Labor productivity,Index (2012=100),2007,91.212
15436,Rhode Island,Labor productivity,Index (2012=100),2008,88.727
15437,Rhode Island,Labor productivity,Index (2012=100),2009,94.170
15438,Rhode Island,Labor productivity,Index (2012=100),2010,97.723
15439,Rhode Island,Labor productivity,Index (2012=100),2011,99.509
15440,Rhode Island,Labor productivity,Index (2012=100),2012,100.000
15441,Rhode Island,Labor productivity,Index (2012=100),2013,100.046
15442,Rhode Island,Labor productivity,Index (2012=100),2014,98.618
15443,Rhode Island,Labor productivity,Index (2012=100),2015,98.912
15444,Rhode Island,Labor productivity,Index (2012=100),2016,100.692
15445,Rhode Island,Labor productivity,Index (2012=100),2017,99.253
15446,Rhode Island,Labor productivity,Index (2012=100),2018,97.330
15447,Rhode Island,Labor productivity,Index (2012=100),2019,98.824
15448,Rhode Island,Labor productivity,Index (2012=100),2020,103.866
15449,Rhode Island,Labor productivity,Index (2012=100),2021,103.044
15450,South Carolina,Labor productivity,Index (2012=100),2007,92.398
15451,South Carolina,Labor productivity,Index (2012=100),2008,92.180
15452,South Carolina,Labor productivity,Index (2012=100),2009,95.536
15453,South Carolina,Labor productivity,Index (2012=100),2010,99.235
15454,South Carolina,Labor productivity,Index (2012=100),2011,101.239
15455,South Carolina,Labor productivity,Index (2012=100),2012,100.000
15456,South Carolina,Labor productivity,Index (2012=100),2013,99.541
15457,South Carolina,Labor productivity,Index (2012=100),2014,102.326
15458,South Carolina,Labor productivity,Index (2012=100),2015,101.237
15459,South Carolina,Labor productivity,Index (2012=100),2016,102.640
15460,South Carolina,Labor productivity,Index (2012=100),2017,103.211
15461,South Carolina,Labor productivity,Index (2012=100),2018,103.910
15462,South Carolina,Labor productivity,Index (2012=100),2019,105.177
15463,South Carolina,Labor productivity,Index (2012=100),2020,109.582
15464,South Carolina,Labor productivity,Index (2012=100),2021,110.376
15465,South Dakota,Labor productivity,Index (2012=100),2007,90.386
15466,South Dakota,Labor productivity,Index (2012=100),2008,92.450
15467,South Dakota,Labor productivity,Index (2012=100),2009,94.734
15468,South Dakota,Labor productivity,Index (2012=100),2010,95.539
15469,South Dakota,Labor productivity,Index (2012=100),2011,98.782
15470,South Dakota,Labor productivity,Index (2012=100),2012,100.000
15471,South Dakota,Labor productivity,Index (2012=100),2013,98.668
